Município;Classificação de % em relação a população geral;% em relação a população geral;Doses Aplicadas - D1;População
CERQUILHO;504;13,30067066;6624;49802
PLANALTO;505;13,27300151;704;5304
CAPIVARI;506;13,24784051;7469;56379
RESTINGA;507;13,23088944;1016;7679
SANTA ISABEL;508;13,19911672;7651;57966
BIRIGUI;509;13,19715254;16481;124883
QUEIROZ;510;13,17919075;456;3460
DUMONT;511;13,15973262;1319;10023
PONTALINDA;512;13,11510484;613;4674
CLEMENTINA;513;13,09809295;1147;8757
HOLAMBRA;514;13,05657412;1994;15272
JOÃO RAMALHO;515;13,05207647;594;4551
CONCHAL;516;13,04071022;3687;28273
ITARIRI;517;13,01852483;2291;17598
JAGUARIÚNA;518;13,0172678;7644;58722
GUARUJÁ;519;12,980945;41896;322750
SANTA CRUZ DAS PALMEIRAS;520;12,98039554;4509;34737
AGUAÍ;521;12,9720585;4754;36648
BARUERI;522;12,95318829;35878;276982
SÃO VICENTE;523;12,9483786;47696;368355
PAULICÉIA;524;12,94606923;965;7454
BOA ESPERANÇA DO SUL;525;12,93780796;1943;15018
ARTUR NOGUEIRA;526;12,93097217;7156;55340
CESÁRIO LANGE;527;12,92517007;2375;18375
NOVA EUROPA;528;12,91941876;1467;11355
NOVA INDEPENDÊNCIA;529;12,87934863;522;4053
TARUMÃ;530;12,87624317;1955;15183
ARAÇOIABA DA SERRA;531;12,81343455;4456;34776
ESPÍRITO SANTO DO TURVO;532;12,79212792;624;4878
ITAPIRAPUÃ PAULISTA;533;12,76944705;545;4268
CHARQUEADA;534;12,74255772;2213;17367
UBATUBA;535;12,73305454;11692;91824
CORDEIRÓPOLIS;536;12,67622654;3147;24826
ALTAIR;537;12,66125179;530;4186
JARINU;538;12,65636738;3875;30617
ILHABELA;539;12,64926526;4502;35591
BIRITIBA MIRIM;540;12,63055623;4160;32936
ITAÍ;541;12,62508217;3457;27382
PRATÂNIA;542;12,60109084;670;5317
ELIAS FAUSTO;543;12,55017841;2251;17936
VALPARAÍSO;544;12,50093207;3353;26822
