Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3521903;Interior;Itajobi;1184;26;;;
3522000;Interior;Itaju;359;3;;;
3522109;Interior;Itanhaém;4151;187;;;
3522158;Interior;Itaoca;230;2;;;
3522208;RMSP (exceto capital);Itapecerica da Serra;5818;332;;;
3522307;Interior;Itapetininga;11187;142;;;
3522406;Interior;Itapeva;5030;183;;;
3522505;RMSP (exceto capital);Itapevi;8382;477;;;
3522604;Interior;Itapira;5212;146;;;
3522653;Interior;Itapirapuã Paulista;435;2;;;
3522703;Interior;Itápolis;3072;78;;;
3522802;Interior;Itaporanga;1093;30;;;
3522901;Interior;Itapuí;1040;15;;;
3523008;Interior;Itapura;171;6;;;
3523107;RMSP (exceto capital);Itaquaquecetuba;12323;645;;;
3523206;Interior;Itararé;3740;133;;;
3523305;Interior;Itariri;960;26;;;
3523404;Interior;Itatiba;7135;85;;;
3523503;Interior;Itatinga;1278;23;;;
3523602;Interior;Itirapina;1132;24;;;
3523701;Interior;Itirapuã;217;2;;;
3523800;Interior;Itobi;496;8;;;
3523909;Interior;Itu;12544;260;;;
3524006;Interior;Itupeva;4171;83;;;
3524105;Interior;Ituverava;1211;75;;;
3524204;Interior;Jaborandi;388;8;;;
3524303;Interior;Jaboticabal;4612;98;;;
3524402;Interior;Jacareí;16400;382;;;
3524501;Interior;Jaci;610;11;;;
3524600;Interior;Jacupiranga;1060;37;;;
3524709;Interior;Jaguariúna;3519;77;;;
3524808;Interior;Jales;4608;166;;;
3524907;Interior;Jambeiro;275;8;;;
3525003;RMSP (exceto capital);Jandira;5184;198;;;
3525102;Interior;Jardinópolis;2423;92;;;
3525201;Interior;Jarinu;1710;40;;;
3525300;Interior;Jaú;7070;348;;;
3525409;Interior;Jeriquara;197;1;;;
3525508;Interior;Joanópolis;755;4;;;
3525607;Interior;João Ramalho;421;12;;;
3525706;Interior;José Bonifácio;3671;77;;;
3525805;Interior;Júlio Mesquita;99;8;;;
3525854;Interior;Jumirim;261;3;;;
3525904;Interior;Jundiaí;34913;1023;;;
3526001;Interior;Junqueirópolis;1200;53;;;
3526100;Interior;Juquiá;1279;31;;;
3526209;RMSP (exceto capital);Juquitiba;1599;50;;;
3526308;Interior;Lagoinha;142;2;;;
3526407;Interior;Laranjal Paulista;2779;53;;;
3526506;Interior;Lavínia;663;12;;;
3526605;Interior;Lavrinhas;212;3;;;
3526704;Interior;Leme;7568;214;;;
3526803;Interior;Lençóis Paulista;9235;133;;;
3526902;Interior;Limeira;15089;469;;;
3527009;Interior;Lindóia;464;17;;;
3527108;Interior;Lins;7100;218;;;
3527207;Interior;Lorena;3576;84;;;
3527256;Interior;Lourdes;213;4;;;
3527306;Interior;Louveira;2797;55;;;
3527405;Interior;Lucélia;936;31;;;
3527504;Interior;Lucianópolis;100;0;;;
3527603;Interior;Luís Antônio;1144;20;;;
3527702;Interior;Luiziânia;172;7;;;
3527801;Interior;Lupércio;170;1;;;
3527900;Interior;Lutécia;158;3;;;
3528007;Interior;Macatuba;2390;39;;;
3528106;Interior;Macaubal;383;6;;;
3528205;Interior;Macedônia;254;11;;;
3528304;Interior;Magda;150;5;;;
3528403;Interior;Mairinque;2794;36;;;
3528502;RMSP (exceto capital);Mairiporã;5092;161;;;
3528601;Interior;Manduri;488;10;;;
3528700;Interior;Marabá Paulista;86;3;;;
3528809;Interior;Maracaí;1031;19;;;
3528858;Interior;Marapoama;266;7;;;
3528908;Interior;Mariápolis;149;3;;;
3529005;Interior;Marília;18112;472;;;
3529104;Interior;Marinópolis;149;1;;;
3529203;Interior;Martinópolis;957;46;;;
3529302;Interior;Matão;3131;98;;;
3529401;RMSP (exceto capital);Mauá;19884;1126;;;
3529500;Interior;Mendonça;609;21;;;
3529609;Interior;Meridiano;257;22;;;
3529658;Interior;Mesópolis;113;1;;;
3529708;Interior;Miguelópolis;850;53;;;
3529807;Interior;Mineiros do Tietê;948;19;;;
3529906;Interior;Miracatu;1396;48;;;
3530003;Interior;Mira Estrela;290;9;;;
3530102;Interior;Mirandópolis;1515;64;;;
3530201;Interior;Mirante do Paranapanema;528;18;;;
3530300;Interior;Mirassol;6069;164;;;
3530409;Interior;Mirassolândia;333;10;;;
3530508;Interior;Mococa;4360;131;;;
3530607;RMSP (exceto capital);Mogi das Cruzes;22151;1058;;;
3530706;Interior;Mogi Guaçu;11480;317;;;
3530805;Interior;Mogi Mirim;7669;220;;;
3530904;Interior;Mombuca;213;2;;;
3531001;Interior;Monções;168;5;;;
3531100;Interior;Mongaguá;1303;55;;;
3531209;Interior;Monte Alegre do Sul;356;7;;;
3531308;Interior;Monte Alto;3348;101;;;
3531407;Interior;Monte Aprazível;1705;54;;;
3531506;Interior;Monte Azul Paulista;1213;10;;;
3531605;Interior;Monte Castelo;426;13;;;
3531704;Interior;Monteiro Lobato;156;4;;;
3531803;Interior;Monte Mor;3956;80;;;
3531902;Interior;Morro Agudo;3158;48;;;
3532009;Interior;Morungaba;643;12;;;
3532058;Interior;Motuca;254;7;;;
3532108;Interior;Murutinga do Sul;238;6;;;
3532157;Interior;Nantes;134;5;;;
3532207;Interior;Narandiba;557;13;;;
3532306;Interior;Natividade da Serra;102;2;;;
3532405;Interior;Nazaré Paulista;1092;11;;;
3532504;Interior;Neves Paulista;883;32;;;
3532603;Interior;Nhandeara;797;33;;;
3532702;Interior;Nipoã;335;7;;;
3532801;Interior;Nova Aliança;611;16;;;
3532827;Interior;Nova Campina;446;16;;;
3532843;Interior;Nova Canaã Paulista;152;3;;;
